type,x,cr,cr_lo,cr_hi,icr,icr_lo,icr_hi,pse,pse_lo,pse_hi,offer_rate,offer_rate_lo,offer_rate_hi,budget_util,budget_util_lo,budget_util_hi
budget,0.5,0.1345,0.1272101791402922,0.14178982085970782,0.00385,0.0032063076830177307,0.004493692316982269,4.242742972633757,3.4093978616835567,5.076088083583958,0.0107,0.007164799208926866,0.014235200791073134,0.9988095238095237,0.9955042320176216,1.002114815601426
budget,0.75,0.13645000000000002,0.12933612128817265,0.14356387871182738,0.0058,0.005395267053822823,0.006204732946177176,4.303423628813757,3.5770568129787206,5.0297904446487935,0.01685,0.01209343819717552,0.02160656180282448,0.9992063492063492,0.9970028213450811,1.0014098770676172
budget,1.0,0.1391,0.13109933246335656,0.14710066753664344,0.008450000000000001,0.0069548385530547995,0.009945161446945202,4.989796635283549,3.513021958563625,6.466571312003474,0.023950000000000003,0.01028217521084,0.03761782478916001,0.9994047619047619,0.9977521160088109,1.001057407800713
budget,1.25,0.14109999999999998,0.1343896992053418,0.14781030079465815,0.010450000000000001,0.009646508107317004,0.011253491892682998,4.813283330220218,4.139037214524552,5.487529445915883,0.023050000000000005,0.0197400279232645,0.02635997207673551,0.9995238095238095,0.9982016928070486,1.0008459262405702
budget,1.5,0.14375,0.13674325694277373,0.15075674305722625,0.0131,0.01144865690251994,0.01475134309748006,5.062608922086268,4.205189987751182,5.9200278564213535,0.039150000000000004,0.011686866537209302,0.06661313346279071,0.9992063492063492,0.9978569694828209,1.0005557289298774
lambda,0.5,0.13965000000000002,0.1331809722760571,0.14611902772394295,0.009000000000000001,0.007859458789656274,0.010140541210343728,5.509563363644686,5.149800939838071,5.8693257874513005,0.03255,0.022100454998655008,0.042999545001344994,0.9982142857142857,0.9961902161289933,1.0002383552995782
lambda,1.0,0.13925,0.13289215288638997,0.14560784711361005,0.0086,0.007628244213180773,0.009571755786819227,5.2832008108073065,4.36323568079508,6.203165940819533,0.02375,0.017110434694532065,0.030389565305467936,0.9994047619047619,0.9977521160088109,1.001057407800713
lambda,2.0,0.1391,0.13109933246335656,0.14710066753664344,0.008450000000000001,0.0069548385530547995,0.009945161446945202,4.989796635283549,3.513021958563625,6.466571312003474,0.023950000000000003,0.01028217521084,0.03761782478916001,0.9994047619047619,0.9977521160088109,1.001057407800713
lambda,3.0,0.13879999999999998,0.13189228492602117,0.14570771507397878,0.008150000000000001,0.007630574683158217,0.008669425316841785,4.6059039686034735,3.8290964119222117,5.382711525284735,0.019200000000000002,0.013495604507849783,0.02490439549215022,0.9994047619047619,0.9977521160088109,1.001057407800713
lambda,4.0,0.1392,0.13157298350535404,0.14682701649464594,0.00855,0.007583214863612946,0.009516785136387054,5.2200619034075855,4.325800699239797,6.114323107575374,0.02155,0.01025623147885558,0.03284376852114442,0.9988095238095237,0.9967854542242313,1.000833593394816
