type,x,seed,cr,icr,pse,offer_rate,cost,budget_util,overspend,inc_sales,gross_sales
lambda,0.5,5101,0.13175,0.0095,5.728949631564824,0.03175,336.0,1.0,0,1924.9270762057808,26341.831766214327
lambda,0.5,5102,0.139,0.008,5.301703717442932,0.03125,335.0,0.9970238095238095,0,1776.070745343382,27734.9132777655
lambda,0.5,5103,0.144,0.00975,5.814702614987325,0.02475,335.0,0.9970238095238095,0,1947.925376020754,28952.531341940627
lambda,0.5,5104,0.14475,0.008,5.126266499210867,0.02825,336.0,1.0,0,1722.4255437348513,28994.709651378336
lambda,0.5,5105,0.13875,0.00975,5.57619435501748,0.04675,335.0,0.9970238095238095,0,1868.0251089308558,28049.373011850592
lambda,1.0,5101,0.13125,0.009,4.850478857650027,0.0245,336.0,1.0,0,1629.760896170409,26046.665586178955
lambda,1.0,5102,0.13925,0.00825,6.122515157428526,0.02275,335.0,0.9970238095238095,0,2051.0425777385562,28009.885110160667
lambda,1.0,5103,0.142,0.00775,4.235660630715533,0.01925,336.0,1.0,0,1423.1819719204193,28427.787937840294
lambda,1.0,5104,0.145,0.00825,5.57755380975413,0.01975,336.0,1.0,0,1874.0580800773878,29146.34218772087
lambda,1.0,5105,0.13875,0.00975,5.629795598488313,0.0325,336.0,1.0,0,1891.611321092073,28072.959224011807
lambda,2.0,5101,0.13,0.00775,4.320756372709553,0.01425,336.0,1.0,0,1451.77414123041,25868.678831238958
lambda,2.0,5102,0.1395,0.0085,5.1625145811856274,0.0245,336.0,1.0,0,1734.6048992783708,27693.447431700486
lambda,2.0,5103,0.14225,0.008,4.499676537752741,0.02025,336.0,1.0,0,1511.8913166849209,28516.49728260479
lambda,2.0,5104,0.14725,0.0105,6.975336100022492,0.0425,336.0,1.0,0,2343.7129296075573,29615.997037251036
lambda,2.0,5105,0.1365,0.0075,3.990699584747331,0.01825,335.0,0.9970238095238095,0,1336.884360890356,27518.232263810096
lambda,3.0,5101,0.13075,0.0085,4.215761170036739,0.015,336.0,1.0,0,1416.4957531323444,25833.40044314089
lambda,3.0,5102,0.13925,0.00825,5.20905758015012,0.02225,336.0,1.0,0,1750.2433469304403,27709.08587935256
lambda,3.0,5103,0.14225,0.008,4.240838336254637,0.0165,336.0,1.0,0,1424.921680981558,28429.527646901428
lambda,3.0,5104,0.14525,0.0085,5.354520940949569,0.02575,335.0,0.9970238095238095,0,1793.7645152181055,29066.048622861592
lambda,3.0,5105,0.1365,0.0075,4.0093418156263025,0.0165,336.0,1.0,0,1347.1388500504377,27528.48675297018
lambda,4.0,5101,0.13025,0.008,4.458168733068125,0.0155,336.0,1.0,0,1497.94469431089,25914.84938431944
lambda,4.0,5102,0.13875,0.00775,5.106863764439292,0.02475,336.0,1.0,0,1715.9062248516022,27674.748757273715
lambda,4.0,5103,0.143,0.00875,5.353408979475979,0.01375,336.0,1.0,0,1798.745417103929,28803.3513830238
lambda,4.0,5104,0.1465,0.00975,6.361859465092337,0.036,335.0,0.9970238095238095,0,2131.222920805933,29403.507028449414
lambda,4.0,5105,0.1375,0.0085,4.820008574962194,0.01775,335.0,0.9970238095238095,0,1614.7028726123349,27796.050775532072
budget,0.5,5101,0.126,0.00375,3.697855413413313,0.0085,168.0,1.0,0,621.2397094534366,25038.14439946198
budget,0.5,5102,0.13425,0.00325,4.346091493714428,0.015,168.0,1.0,0,730.1433709440239,26688.98590336614
budget,0.5,5103,0.1385,0.00425,4.292751655009368,0.00875,168.0,1.0,0,721.1822780415738,27725.78824396144
budget,0.5,5104,0.14125,0.0045,5.279652332225523,0.01225,167.0,0.9940476190476191,0,881.7019394816624,28153.98604712515
budget,0.5,5105,0.1325,0.0035,3.5973639688061545,0.009,168.0,1.0,0,604.3571467594339,26785.705049679163
budget,0.75,5101,0.128,0.00575,3.6827089251645453,0.014,252.0,1.0,0,928.0426491414654,25344.94733915001
budget,0.75,5102,0.1365,0.0055,4.405706481809665,0.0235,252.0,1.0,0,1110.2380334160357,27069.080565838154
budget,0.75,5103,0.1405,0.00625,4.68971473209945,0.01475,252.0,1.0,0,1181.8081124890614,28186.414078408932
budget,0.75,5104,0.14275,0.006,5.007919842482085,0.0155,251.0,0.996031746031746,0,1256.9878804630034,28529.271988106488
budget,0.75,5105,0.1345,0.0055,3.731068162513039,0.0165,252.0,1.0,0,940.2291769532859,27121.577079873023
budget,1.0,5101,0.13,0.00775,4.320756372709553,0.01425,336.0,1.0,0,1451.77414123041,25868.678831238958
budget,1.0,5102,0.1395,0.0085,5.1625145811856274,0.0245,336.0,1.0,0,1734.6048992783708,27693.447431700486
budget,1.0,5103,0.14225,0.008,4.499676537752741,0.02025,336.0,1.0,0,1511.8913166849209,28516.49728260479
budget,1.0,5104,0.14725,0.0105,6.975336100022492,0.0425,336.0,1.0,0,2343.7129296075573,29615.997037251036
budget,1.0,5105,0.1365,0.0075,3.990699584747331,0.01825,335.0,0.9970238095238095,0,1336.884360890356,27518.232263810096
budget,1.25,5101,0.1325,0.01025,4.157688340099555,0.0225,420.0,1.0,0,1746.229102841813,26163.13379285036
budget,1.25,5102,0.14225,0.01125,5.343872918251215,0.02775,420.0,1.0,0,2244.42662566551,28203.269158087616
budget,1.25,5103,0.144,0.00975,4.334751899231933,0.022,420.0,1.0,0,1820.595797677412,28825.201763597284
budget,1.25,5104,0.14675,0.01,5.283906947507494,0.02125,420.0,1.0,0,2219.2409179531473,29491.52502559663
budget,1.25,5105,0.14,0.011,4.946196546010894,0.02175,419.0,0.9976190476190476,0,2072.4563527785645,28253.804255698305
budget,1.5,5101,0.1345,0.01225,4.185492453649076,0.023,503.0,0.998015873015873,0,2105.3027041854853,26522.20739419402
budget,1.5,5102,0.14625,0.01525,6.063321981268337,0.07625,503.0,0.998015873015873,0,3049.8509565779736,29008.69348900008
budget,1.5,5103,0.14675,0.0125,4.779576042403233,0.02525,504.0,1.0,0,2408.9063253712297,29413.512291291103
budget,1.5,5104,0.14875,0.012,5.290323175894155,0.04275,504.0,1.0,0,2666.322880650654,29938.606988294126
budget,1.5,5105,0.1425,0.0135,4.994330957216539,0.0285,504.0,1.0,0,2517.1428024371353,28698.490705356868
